Opened file: D:\pol\Fedorchak_seedwords.txt
Enter the graph file name!
Opened file: D:\pol\karav1.txt
# of positive seed words: 537 
# of negative seed words: 130 
# of neutral seed words: 123
матурант[+:1 -:0 0:0 I:7]
вступник[+:1 -:0 0:0 I:7]
або[+:0 -:0 0:1 I:0]
чи[+:0 -:0 0:2 I:0]
чи_то[+:0 -:0 0:1 I:1]
альбо[+:0 -:0 0:1 I:1]
а_то[+:0 -:0 0:1 I:1]
тобто[+:0 -:0 0:1 I:1]
інакше_кажучи[+:0 -:0 0:2 I:1]
хіба[+:0 -:0 0:3 I:0]
абориґен[+:2 -:0 0:0 I:3]
тубілець[+:1 -:0 0:0 I:4]
автохтон[+:1 -:0 0:0 I:4]
корінний_житель[+:1 -:0 0:0 I:4]
старожил[+:1 -:0 0:0 I:4]
місцевий[+:4 -:0 0:0 I:2]
тутешній[+:3 -:0 0:0 I:2]
аборигенний[+:1 -:0 0:0 I:2]
тубільний[+:2 -:0 0:0 I:2]
автохтонний[+:3 -:0 0:0 I:2]
корінний[+:3 -:0 0:0 I:1]
аборт[+:0 -:0 0:0 I:-1]
передчасні_пологи[+:0 -:0 0:0 I:-1]
викидень[+:0 -:0 0:0 I:-1]
абощо[+:0 -:0 0:0 I:-1]
чи_що[+:0 -:0 0:0 I:-1]
чи_там_що[+:0 -:0 0:0 I:-1]
чи_то_ще_що[+:0 -:0 0:0 I:-1]
абракадабра[+:0 -:0 0:1 I:2]
абсурд[+:0 -:0 0:1 I:1]
абрикоса[+:0 -:0 0:0 I:-1]
жерделя[+:0 -:0 0:0 I:-1]
мореля[+:0 -:0 0:0 I:-1]
абрис[+:4 -:0 0:0 I:3]
контур[+:7 -:0 0:0 I:3]
обрис[+:10 -:0 0:0 I:3]
обвід[+:4 -:0 0:0 I:3]
окреслення[+:2 -:0 0:0 I:4]
конфігурація[+:2 -:0 0:0 I:2]
закрій[+:1 -:0 0:0 I:4]
лінія[+:17 -:0 0:0 I:2]
абсолютизм[+:0 -:0 0:0 I:5]
самодержавство[+:0 -:0 0:0 I:6]
монархізм[+:0 -:0 0:0 I:6]
автократія[+:0 -:0 0:0 I:6]
тиранія[+:0 -:0 0:0 I:4]
деспотія[+:0 -:0 0:0 I:6]
деспотизм[+:0 -:0 0:0 I:5]
тоталітаризм[+:0 -:0 0:0 I:6]
диктатура[+:0 -:0 0:0 I:6]
абсолютний[+:0 -:1 0:0 I:1]
цілковитий[+:0 -:5 0:0 I:1]
повний[+:0 -:1 0:0 I:0]
необмежений[+:0 -:2 0:0 I:1]
безумовний[+:0 -:2 0:0 I:1]
всеосяжний[+:1 -:2 0:0 I:2]
всеохопний[+:0 -:3 0:0 I:2]
тотальний[+:0 -:2 0:0 I:1]
безвідносний[+:0 -:1 0:0 I:2]
абсолютно[+:7 -:0 0:0 I:1]
умоглядний[+:1 -:0 0:0 I:2]
безглуздя[+:0 -:0 0:1 I:2]
нонсенс[+:0 -:0 0:1 I:2]
несусвітенність[+:0 -:0 0:1 I:2]
безглуздість[+:0 -:0 0:1 I:2]
нісенітність[+:0 -:0 0:1 I:2]
неподобність[+:0 -:0 0:1 I:2]
недоладність[+:0 -:0 0:1 I:2]
на_вербі_груші[+:0 -:0 0:1 I:2]
сон_рябої_кобили[+:0 -:0 0:1 I:2]
таке[+:0 -:0 0:1 I:0]
що_й_купи_не_держиться[+:0 -:0 0:1 I:2]
бридня[+:0 -:0 0:1 I:2]
глупство[+:0 -:0 0:1 I:2]
чортзна-що[+:0 -:0 0:1 I:2]
чортибатька-що[+:0 -:0 0:1 I:2]
маячня[+:0 -:0 0:2 I:2]
ідіотизм[+:0 -:0 0:1 I:2]
дурість[+:0 -:0 0:3 I:2]
парадокс[+:0 -:0 0:1 I:2]
анекдота[+:0 -:0 0:1 I:2]
анекдотичність[+:0 -:0 0:1 I:2]
анекдот[+:0 -:0 0:2 I:2]
абсурдний[+:2 -:0 0:1 I:3]
безглуздий[+:0 -:0 0:1 I:2]
нісенітний[+:1 -:0 0:1 I:4]
ні_в_кут_ні_в_двері[+:1 -:0 0:0 I:4]
ні_те_ні_се[+:1 -:0 0:0 I:4]
дикий[+:11 -:4 0:1 I:3]
абсцис[+:0 -:2 0:0 I:4]
гнояк[+:0 -:1 0:0 I:4]
нарив[+:0 -:1 0:0 I:5]
чир[+:0 -:2 0:0 I:4]
чиряк[+:0 -:1 0:0 I:3]
фурункул[+:0 -:3 0:0 I:4]
карбункул[+:0 -:2 0:0 I:4]
нагноєння[+:0 -:1 0:0 I:5]
запалення[+:0 -:1 0:0 I:5]
аванґард[+:4 -:0 0:0 I:3]
перший_ешельон[+:1 -:0 0:0 I:4]
передова_частина[+:1 -:0 0:0 I:4]
передовики[+:1 -:0 0:0 I:4]
перші_лави[+:1 -:0 0:0 I:2]
еліта[+:6 -:0 0:0 I:3]
вершки[+:1 -:0 0:0 I:2]
сметанка[+:2 -:0 0:0 I:2]
авангардний[+:1 -:0 0:0 I:2]
передовий[+:6 -:0 0:0 I:2]
з_перших_лав[+:1 -:0 0:0 I:3]
елітарний[+:1 -:0 0:0 I:3]
аванс[+:0 -:0 0:0 I:-1]
завдаток[+:0 -:0 0:0 I:-1]
авансом[+:4 -:0 0:0 I:3]
наперед[+:6 -:0 0:0 I:2]
заздалегідь[+:2 -:0 0:0 I:2]
